rank,primary_class,count
1,Q85 - 85 - Education,38
2,R86 - 86 - Human health activities,30
3,K61 - 61 - Telecommunications,28
4,N72 - 72 - Scientific research and development,23
5,N69 - 69 - Legal and accounting activities,20
6,"J60 - 60 - Programming, broadcasting, news agency and other content distribution activities",17
7,C13 - 13 - Manufacture of textiles,17
8,"O82 - 82 - Office administrative, office support and other business support activities",13
9,"C33 - 33 - Repair, maintenance and installation of machinery and equipment",13
10,T94 - 94 - Activities of membership organizations,11
